,DATE,RESIDUE_N,HUMUS_N,FERTZR_N,NET_PL_EXCH_N,NH4,NO3,SUR_DON+SED_FLX,SUB_DON_FLX,SUR_DIN_FLX,SUB_DIN_FLX,N2O_FLUX,NH3_FLUX,N2_FIXN,MICRO_N,NH4_1,NH4_2,NH4_3,NH4_4,NH4_5,NH4_6,NH4_7,NH4_8,NH4_9,NH4_10,NH4_11,NH4_12,NH4_13,NH4_14,NH4_15,NO3_1,NO3_2,NO3_3,NO3_4,NO3_5,NO3_6,NO3_7,NO3_8,NO3_9,NO3_10,NO3_11,NO3_12,NO3_13,NO3_14,NO3_15,NH4_RES,FIRE_SON_LOSS,ECO_HVST_N,FIRE_NOX_EMIT,N2_FLUX
30,31012001.0,22.38952,1123.879,0.0,0.0,0.1150948,2.796407,0.0,0.0001566727,0.0,-0.0521872,-0.003221103,0.0004331604,0.0004636235,33.91944,0.02777954,0.06032853,0.0544103,0.0481956,0.04372479,0.0314536,0.0222096,0.05277586,0.03831423,0.02832477,0.02310428,0.01913844,0.01234887,0.004111206,0.0,0.03585949,4.153234,4.806687,3.768832,2.838955,1.774806,0.9350089,1.273438,0.8113313,0.4739094,0.3325716,0.2978498,0.2874527,0.3074524,0.0,33.78693,0.0,0.0,0.0,-0.006928347
31,1022001.0,22.38353,1123.831,0.0,0.0,0.1146798,2.838092,0.0,0.0001566727,0.0,-0.0532347,-0.003230868,0.0004446302,0.0004712062,33.98957,0.02798994,0.06040714,0.0539688,0.04778118,0.04334926,0.03114506,0.02199015,0.0528565,0.03845751,0.02840433,0.02316031,0.0192144,0.01247545,0.004169933,0.0,0.03829308,4.351989,4.897473,3.830459,2.897851,1.801261,0.9544928,1.292781,0.8232462,0.4795399,0.3348077,0.2993669,0.2887513,0.3074688,0.0,32.60952,0.0,0.0,0.0,-0.006992511
32,2022001.0,22.37908,1123.784,0.0,0.0,0.1144175,2.877605,0.0,0.0001566727,0.0,-0.05427064,-0.003240595,0.0004556254,0.0004780445,34.04924,0.0278732,0.06098554,0.05412837,0.04779935,0.04331535,0.03104868,0.02187399,0.05290953,0.03857693,0.02847942,0.02321207,0.01928419,0.01259224,0.004228645,0.0,0.04216745,4.488228,4.99612,3.892759,2.959838,1.827586,0.973583,1.312275,0.834951,0.4850766,0.3370179,0.3008798,0.2887104,0.3087794,0.0,31.55349,0.0,0.0,0.0,-0.007057998
33,3022001.0,22.3752,1123.739,0.0,0.0,0.1139697,2.915246,0.0,0.000156978,0.0,-0.05525723,-0.003247522,0.0004666096,0.0004848416,34.1213,0.02819799,0.06141551,0.05413323,0.04777087,0.04328898,0.03103729,0.02196471,0.05299193,0.03868091,0.02854993,0.02326024,0.01934922,0.01270194,0.004284261,0.0,0.0426857,4.578783,5.09749,3.958805,3.023112,1.856599,0.977614,1.334414,0.8465253,0.4905255,0.3392302,0.3024717,0.2891135,0.3094793,0.0,30.07161,0.0,0.0,0.0,-0.007138124
34,4022001.0,22.37037,1123.694,0.0,0.0,0.1130139,2.953801,0.0,0.0001571535,0.0,-0.05623823,-0.003249754,0.0004775398,0.0004935637,34.22013,0.02887334,0.06193703,0.05387622,0.04737695,0.04299071,0.03088363,0.02195821,0.05307397,0.03877773,0.02861654,0.02330579,0.0194082,0.01280626,0.004337125,0.0,0.04608767,4.582826,5.271634,4.040822,3.096106,1.887066,0.9718677,1.357551,0.858479,0.495902,0.3414882,0.303929,0.2899733,0.3097455,0.0,27.66576,0.0,0.0,0.0,-0.007220704
35,5022001.0,22.36962,1123.65,0.0,0.0,0.1119386,2.986396,0.0,0.0001572222,0.0,-0.05720865,-0.003248647,0.0004874353,0.0005029191,34.33736,0.02909468,0.06355623,0.05407411,0.04705314,0.04267783,0.03068043,0.02182581,0.05310514,0.03886398,0.02867968,0.02334811,0.01946231,0.01290479,0.004387993,0.0,0.0459484,4.243299,5.556739,4.166131,3.179168,1.915211,0.9755911,1.378397,0.8706273,0.5012197,0.3437033,0.305324,0.2909582,0.3098995,0.0,24.96087,0.0,0.0,0.0,-0.007298101
36,6022001.0,22.36583,1123.608,0.0,0.0,0.1109599,3.021333,0.0,0.0001572235,0.0,-0.0581805,-0.003246492,0.0004961365,0.0005134494,34.46061,0.03050102,0.06521145,0.05621538,0.04748268,0.04270836,0.03048531,0.0216489,0.05310022,0.03893749,0.02873936,0.02338751,0.01951213,0.01299445,0.004440601,0.0,0.04516733,3.615451,5.863059,4.503557,3.319021,1.94595,0.9882901,1.397478,0.8826224,0.5064844,0.3458767,0.3066879,0.2902722,0.3117345,0.0,22.15462,0.0,0.0,0.0,-0.007372195
37,7022001.0,22.36088,1123.565,0.0,0.0,0.110424,3.057225,0.0,0.0001572239,0.0,-0.0591201,-0.003245817,0.0005048558,0.000521586,34.55046,0.03079073,0.06710373,0.05788479,0.04902407,0.04360012,0.03063697,0.0215806,0.05309501,0.03899985,0.02879563,0.0234242,0.01955763,0.01308185,0.004488463,0.0,0.05213052,3.396986,5.727088,4.859226,3.5908,1.989834,1.005035,1.415824,0.8942934,0.5116913,0.3480093,0.3079738,0.2910304,0.3121331,0.0,20.04258,0.0,0.0,0.0,-0.007447727
38,8022001.0,22.35419,1123.524,0.0,0.0,0.1100155,3.093482,0.0,0.0001572239,0.0,-0.06005008,-0.003247806,0.0005135085,0.0005286398,34.63588,0.02978574,0.06717779,0.05836896,0.04993989,0.04444927,0.03092371,0.02161691,0.05313164,0.03905953,0.02884901,0.02345844,0.01959947,0.01316201,0.004537215,0.0,0.04897581,3.388988,5.65871,5.001277,3.797392,2.043136,1.024962,1.434005,0.9056489,0.5168334,0.3501028,0.3092278,0.2904747,0.3138502,0.0,18.51754,0.0,0.0,0.0,-0.007535146
39,9022001.0,22.35271,1123.484,0.0,0.0,0.1098298,3.124464,0.0,0.0001575145,0.0,-0.06095314,-0.003254181,0.0005218625,0.0005356843,34.7149,0.02959421,0.06772396,0.05904203,0.05071149,0.04509952,0.03127725,0.02170747,0.05318727,0.03912045,0.02890022,0.02349046,0.01963806,0.01324261,0.004579588,0.0,0.06707543,3.34762,5.635043,5.067225,3.909684,2.098293,1.045467,1.452493,0.9167297,0.5219039,0.3521581,0.3104687,0.2930325,0.3124553,0.0,17.38703,0.0,0.0,0.0,-0.007636207
