,DATE,RADN,TMAX_AIR,TMIN_AIR,HMAX_AIR,HMIN_AIR,WIND,PRECN,TMAX_SOIL_1,TMIN_SOIL_1,TMAX_SOIL_2,TMIN_SOIL_2,TMAX_SOIL_3,TMIN_SOIL_3,TMAX_SOIL_4,TMIN_SOIL_4,TMAX_SOIL_5,TMIN_SOIL_5,TMAX_SOIL_6,TMIN_SOIL_6,TMAX_SOIL_7,TMIN_SOIL_7,TMAX_SOIL_8,TMIN_SOIL_8,TMAX_SOIL_9,TMIN_SOIL_9,TMAX_SOIL_10,TMIN_SOIL_10,TMAX_SOIL_11,TMIN_SOIL_11,TMAX_SOIL_12,TMIN_SOIL_12,TMAX_SOIL_13,TMIN_SOIL_13,TMAX_SOIL_14,TMIN_SOIL_14,TMAX_LITTER,TMIN_LITTER,ECND_1,ECND_2,ECND_3,ECND_4,ECND_5,ECND_6,ECND_7,ECND_8,ECND_9,ECND_10,ECND_11,ECND_12,TTL_SALT_DISCHG
34,4022001.0,9.455064,2.98399,-5.429086,0.6664237,0.3621087,317.4926,0.0,1.044037,0.9652405,1.296448,1.203888,1.559296,1.44931,1.859497,1.742157,2.102844,1.991058,2.410828,2.313324,2.775787,2.713562,3.386902,3.379364,4.559052,4.514587,5.944519,5.879333,7.041473,6.963959,7.950531,7.868195,8.654358,8.576904,9.027252,8.956268,0.381958,0.3046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,5022001.0,8.19388,7.98399,-3.532577,0.8461978,0.4168694,317.0708,0.0,1.147308,0.7831116,1.343323,1.104797,1.59317,1.465118,1.890747,1.819672,2.131714,2.087921,2.436432,2.411346,2.796051,2.776184,3.390808,3.383392,4.514191,4.481445,5.878693,5.8172,6.963135,6.889008,7.86734,7.787476,8.57608,8.499817,8.955536,8.884186,0.9197693,0.3591309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,6022001.0,10.88341,2.428434,-4.057874,0.6408501,0.4010014,312.4968,0.127,1.632111,0.294342,1.622498,0.940033,1.753265,1.424408,1.976471,1.82608,2.184021,2.092468,2.462341,2.418335,2.808868,2.786743,3.389801,3.384674,4.48114,4.451569,5.816559,5.759247,6.888275,6.817291,7.786652,7.709564,8.499023,8.422333,8.883392,8.812134,1.957428,-0.6042786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,7022001.0,8.14156,-0.904899,-4.074553,0.5050469,0.4005062,309.1238,2.6035,1.117889,-0.1106567,1.186066,0.4566345,1.404297,0.9464722,1.82605,1.436157,2.112152,1.800293,2.450256,2.224609,2.807892,2.654572,3.385895,3.316925,4.451294,4.414642,5.758667,5.704315,6.816559,6.748871,7.708771,7.633545,8.42157,8.34729,8.811371,8.740479,0.9500122,-0.8952332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8022001.0,4.095511,-2.571566,-9.477206,0.4473677,0.2416362,306.4279,6.6675,0.6456909,-0.019104,0.9014282,0.4741211,1.18512,0.925293,1.51535,1.376953,1.826355,1.711853,2.233673,2.10849,2.653381,2.542084,3.316162,3.222321,4.414124,4.356018,5.703735,5.647705,6.748169,6.682281,7.632812,7.559906,8.346497,8.272278,8.739746,8.66925,0.1252747,-0.5782166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,9022001.0,8.9027,-10.9049,-17.31814,0.2383875,0.1428123,303.8503,0.0,0.4980469,0.0484314,0.847229,0.5016785,1.171265,0.9067993,1.513977,1.319763,1.785797,1.63324,2.133942,2.023895,2.543884,2.457245,3.221619,3.152252,4.355316,4.291656,5.647125,5.587769,6.68161,6.616638,7.559174,7.488525,8.271515,8.200592,8.668488,8.598633,-0.1453552,-0.608429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,10022001.0,11.79159,-9.793788,-21.03397,0.2598568,0.104872,309.3477,0.0,0.03616333,-0.1353455,0.4932861,0.3119202,0.9012146,0.7080688,1.316315,1.126526,1.630798,1.451477,2.022461,1.859039,2.456177,2.314697,3.151398,3.047791,4.290985,4.219879,5.587097,5.524445,6.615967,6.550659,7.487762,7.418457,8.199799,8.127411,8.5979,8.528351,-0.3658142,-0.8934326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,11022001.0,12.66563,-2.01601,-19.00506,0.4658989,0.1242713,309.6134,0.0,0.0592041,-0.2450867,0.3964844,0.2114868,0.7194214,0.6100769,1.124512,1.034973,1.449951,1.365448,1.857819,1.768738,2.313629,2.213745,3.046661,2.941803,4.219055,4.13736,5.523773,5.457489,6.549957,6.483582,7.417786,7.348206,8.126648,8.05603,8.527679,8.459656,-0.2986145,-1.146729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,12022001.0,9.203136,0.761768,-9.30752,0.5693237,0.2697893,314.8142,0.508,0.5821228,-0.2785339,0.7903748,0.192627,0.9945068,0.5834656,1.252289,0.9985962,1.481689,1.321259,1.786072,1.719208,2.213379,2.162872,2.940826,2.865387,4.136505,4.05542,5.456787,5.387604,6.48288,6.415283,7.347473,7.278595,8.055267,7.986603,8.458954,8.391632,0.007598877,-1.138153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,13022001.0,7.37609,1.872879,-7.067302,0.6161601,0.2850642,316.5381,1.524,0.7967224,0.4509583,1.018402,0.7698059,1.227051,0.9994507,1.470917,1.256592,1.677094,1.485229,1.945129,1.788513,2.285614,2.184662,2.871155,2.860321,4.054596,3.992188,5.386871,5.316101,6.414581,6.346039,7.277832,7.208862,7.985901,7.916931,8.39093,8.32431,0.2140503,-0.2552185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
