,DATE,PRECN,ET,RUNOFF,WATER,DISCHG,SNOWPACK,WTR_1,WTR_2,WTR_3,WTR_4,WTR_5,WTR_6,WTR_7,WTR_8,WTR_9,WTR_10,WTR_11,WTR_12,WTR_13,SURF_WTR,ICE_1,ICE_2,ICE_3,ICE_4,ICE_5,ICE_6,ICE_7,ICE_8,ICE_9,ICE_10,ICE_11,ICE_12,ICE_13,SURF_ICE,PSI_1,PSI_2,PSI_3,PSI_4,PSI_5,PSI_6,PSI_7,PSI_8,PSI_9,PSI_10,TILE_DRG,SEDIMENT,PSI_SURF,SURF_ELEV,ACTV_LYR,WTR_TBL
31,1022001.0,28.70201,4.787184,0.0,1050.854,-46.87675,137.7174,0.262334,0.2604492,0.2723337,0.2829087,0.2885475,0.2613928,0.267295,0.3584443,0.3483022,0.3537593,0.3633725,0.3782102,0.4392825,0.0,9.457442e-16,9.175015e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1025022,-0.1085435,-0.07684644,-0.05729332,-0.04921231,-0.03914661,-0.03299671,-0.03023239,-0.02955263,-0.03030371,0.0,0.0,-0.1005153,0.01513912,-9999.016,-2.385756
32,2022001.0,28.70201,4.841352,0.0,1051.836,-47.91275,133.5693,0.261646,0.2636745,0.2732893,0.2824467,0.2879328,0.2606151,0.2664863,0.3580888,0.3482559,0.3539174,0.3637571,0.3789426,0.4411399,0.0,9.458761e-16,9.174699e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1045575,-0.09861498,-0.07480925,-0.0580213,-0.05003142,-0.04005247,-0.03371698,-0.03088933,-0.02961758,-0.03007296,0.0,0.0,-0.1063249,0.01507449,-9999.016,-2.390591
33,3022001.0,28.70201,4.747301,0.0,1052.735,-48.71812,114.1561,0.2844937,0.2721455,0.2743499,0.2822936,0.2875931,0.2609358,0.2788758,0.3585924,0.3482052,0.3540716,0.3641838,0.3798177,0.4421228,0.0,9.460018e-16,9.174382e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05478717,-0.07753512,-0.07264537,-0.05827223,-0.05049763,-0.03970509,-0.02305338,-0.02999963,-0.02969061,-0.02984956,0.0,0.0,-0.05198632,0.01500299,-9999.015,-2.389421
34,4022001.0,28.70201,4.604093,0.0,1053.719,-49.55932,100.6938,0.3065904,0.2893395,0.2789406,0.282939,0.2880712,0.2619337,0.2764743,0.3594841,0.34828,0.3542324,0.3647057,0.3805326,0.4424841,0.0,9.461303e-16,9.174066e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03099428,-0.04847641,-0.06403649,-0.05727786,-0.04986464,-0.03855156,-0.02481515,-0.02841372,-0.02958617,-0.02961857,0.0,0.0,-0.02985975,0.01491264,-9999.015,-2.38224
35,5022001.0,28.70201,4.324522,0.0,1054.91,-50.46998,78.292,0.3521971,0.3512689,0.2933948,0.2862042,0.2894655,0.2622306,0.2728783,0.3597266,0.3484263,0.3544011,0.3652088,0.3811817,0.4426838,0.0,9.462554e-16,9.173749e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01320705,-0.01348106,-0.04364688,-0.0525111,-0.04806682,-0.03821075,-0.02772052,-0.02799042,-0.02938072,-0.02937829,0.0,0.0,-0.01327048,0.01481025,-9999.015,-2.373425
36,6022001.0,28.82902,4.239244,0.0,1056.088,-51.43533,65.57538,0.3490318,0.3487351,0.3275465,0.2995293,0.2950771,0.2625284,0.2701292,0.3594688,0.3485551,0.3545777,0.3656932,0.3818082,0.4452903,0.0,9.463875e-16,9.173432e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01390566,-0.01402504,-0.02093882,-0.03710124,-0.04155964,-0.03788982,-0.03019042,-0.02842239,-0.02919972,-0.02912902,0.0,0.0,-0.01406574,0.0147044,-9999.015,-2.386255
37,7022001.0,31.43252,4.253211,0.0,1059.616,-52.37384,79.49612,0.3302252,0.3325553,0.3271254,0.3141832,0.3072594,0.2644588,0.2686943,0.3590587,0.348628,0.3547581,0.3661589,0.3823449,0.4458394,0.0,0.00161767,9.173116e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0197342,-0.01887008,-0.02096575,-0.02695418,-0.03094213,-0.03584058,-0.0315855,-0.02913256,-0.02909765,-0.02887674,0.0,0.0,-0.02009516,0.01462417,-9999.015,-2.380264
38,8022001.0,38.10001,4.120053,0.0,1067.347,-53.30386,119.571,0.3243456,0.3245767,0.3225844,0.3176442,0.3141339,0.2670318,0.2684624,0.3587198,0.3486587,0.3549399,0.3666058,0.3828559,0.4482791,0.0,9.950715e-16,9.172799e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02208061,-0.02200237,-0.0228645,-0.02515896,-0.02694895,-0.03327821,-0.03182263,-0.02973606,-0.02905464,-0.02862442,0.0,0.0,-0.02220535,0.01454316,-9999.015,-2.391236
39,9022001.0,38.10001,4.084476,0.0,1067.849,-53.77076,117.9773,0.3032178,0.3127834,0.3178069,0.3171611,0.314969,0.2695174,0.2703904,0.3585552,0.3486648,0.3551188,0.3670348,0.3833681,0.4462525,0.0,9.951907e-16,9.172483e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03327387,-0.02754026,-0.02503665,-0.02537687,-0.02649507,-0.03104824,-0.03007151,-0.03003992,-0.029046,-0.02837876,0.0,0.0,-0.03700857,0.0144911,-9999.015,-2.361759
40,10022001.0,38.10001,4.100999,0.0,1067.977,-53.9142,116.3869,0.2641742,0.2902007,0.3076631,0.3130652,0.3135167,0.2725892,0.2805136,0.3594494,0.3487028,0.3553117,0.3675012,0.384097,0.4491884,0.0,0.001328046,9.172168e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0968326,-0.0468296,-0.03054262,-0.02747229,-0.02724405,-0.02854314,-0.02209152,-0.02848664,-0.02899471,-0.02811663,0.0,0.0,-0.1453226,0.01445848,-9999.015,-2.379151
41,11022001.0,38.10001,4.138392,0.0,1068.058,-54.03208,114.2728,0.2323391,0.2778181,0.2994702,0.3081501,0.3111637,0.2752058,0.2818669,0.3609025,0.3488953,0.3555231,0.3679456,0.3846805,0.4517633,0.0,7.207861e-14,9.171872e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2579384,-0.0657924,-0.03690996,-0.03029085,-0.02853929,-0.02656254,-0.0211521,-0.02610097,-0.02873217,-0.02783198,0.0,0.0,-0.588723,0.01441319,-9999.015,-2.392779
42,12022001.0,38.608,4.084635,0.0,1068.804,-54.21686,113.0829,0.2248771,0.2722439,0.2947639,0.3041733,0.3090695,0.2756656,0.2787057,0.3615979,0.3491881,0.3557406,0.3683754,0.3851984,0.4519157,0.0,9.298792e-16,9.171604e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3395131,-0.07691459,-0.04172494,-0.0328119,-0.02975063,-0.02621938,-0.02322426,-0.025023,-0.02833451,-0.02754241,0.0,0.0,-0.5371266,0.01435294,-9999.015,-2.384222
43,13022001.0,40.13198,3.982821,0.0,1070.689,-54.47562,114.9888,0.2465558,0.2675625,0.2915055,0.3016692,0.3065971,0.2747577,0.2776858,0.361662,0.3494801,0.3559654,0.3687915,0.3856575,0.4542046,0.0,9.299871e-16,9.17132e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16596,-0.08794184,-0.04547488,-0.03493105,-0.0312566,-0.02686884,-0.02395417,-0.02492435,-0.02794291,-0.02724623,0.0,0.0,-0.2071403,0.01429813,-9999.015,-2.394591
